Adm_No,Name,Gender,Class,total_marks,avg_marks,attendance_rate
68,Student_68,Male,II,458.2,76.36666666666666,100.0
69,Student_69,Male,III,,,0.0
70,Student_70,Female,I,184.5,61.5,100.0
71,Student_71,Other,II,,,0.0
72,Student_72,Other,III,108.8,36.266666666666666,100.0
73,Student_73,Female,I,127.39999999999999,42.46666666666666,0.0
74,Student_74,Female,II,170.6,56.86666666666667,100.0
75,Student_75,Female,III,158.0,52.666666666666664,0.0
76,Student_76,Other,I,597.4,99.56666666666666,100.0
77,Student_77,Male,II,,,0.0
78,Student_78,Male,III,242.7,80.89999999999999,0.0
79,Student_79,Male,I,270.5,90.16666666666667,100.0
80,Student_80,Male,II,37.7,12.566666666666668,0.0
81,Student_81,Female,III,,,100.0
82,Student_82,Other,I,147.7,49.23333333333333,100.0
83,Student_83,Female,II,282.1,94.03333333333335,0.0
84,Student_84,Female,III,201.3,67.10000000000001,0.0
85,Student_85,Male,I,,,100.0
86,Student_86,Female,II,139.7,46.56666666666666,100.0
87,Student_87,Male,III,178.7,59.56666666666666,100.0
88,Student_88,Other,I,477.8,79.63333333333334,100.0
89,Student_89,Female,II,,,100.0
90,Student_90,Female,III,351.4,58.56666666666666,100.0
91,Student_91,Other,I,184.6,61.53333333333333,0.0
92,Student_92,Male,II,246.10000000000002,82.03333333333335,100.0
93,Student_93,Female,III,,,100.0
94,Student_94,Female,I,161.7,53.9,100.0
95,Student_95,Male,II,261.7,87.23333333333333,100.0
96,Student_96,Male,III,255.0,85.0,0.0
97,Student_97,Male,I,,,0.0
98,Student_98,Male,II,292.8,48.800000000000004,0.0
99,Student_99,Other,III,135.9,45.300000000000004,100.0
100,Student_100,Male,I,186.4,62.13333333333333,0.0
101,Student_101,Male,II,,,0.0
102,Student_102,Other,III,191.6,63.86666666666667,100.0
103,Student_103,Female,I,,,0.0
104,Student_104,Other,II,242.5,80.83333333333333,0.0
105,Student_105,Other,III,,,0.0
106,Student_106,Male,I,105.3,35.1,0.0
107,Student_107,Female,II,,,0.0
108,Student_108,Male,III,213.9,71.3,0.0
109,Student_109,Female,I,,,0.0
110,Student_110,Other,II,244.60000000000002,81.53333333333335,0.0
111,Student_111,Other,III,,,100.0
112,Student_112,Other,I,260.3,86.76666666666667,0.0
113,Student_113,Male,II,108.4,36.13333333333333,0.0
114,Student_114,Male,III,212.4,70.8,100.0
115,Student_115,Female,I,,,0.0
116,Student_116,Male,II,199.2,33.199999999999996,0.0
117,Student_117,Female,III,182.4,60.800000000000004,100.0
118,Student_118,Other,I,92.9,30.96666666666667,0.0
119,Student_119,Male,II,,,100.0
120,Student_120,Other,III,234.0,78.0,0.0
121,Student_121,Other,I,,,100.0
122,Student_122,Other,II,255.0,85.0,100.0
123,Student_123,Male,III,,,100.0
124,Student_124,Male,I,251.5,83.83333333333333,0.0
125,Student_125,Male,II,276.9,92.3,100.0
126,Student_126,Male,III,336.8,56.13333333333333,0.0
127,Student_127,Male,I,172.0,57.333333333333336,100.0
128,Student_128,Female,II,226.4,75.46666666666667,100.0
129,Student_129,Male,III,,,0.0
130,Student_130,Male,I,239.7,79.89999999999999,0.0
131,Student_131,Other,II,226.1,75.36666666666666,100.0
132,Student_132,Other,III,132.7,44.23333333333333,0.0
133,Student_133,Other,I,,,100.0
134,Student_134,Male,II,267.0,89.0,0.0
135,Student_135,Female,III,,,100.0
136,Student_136,Female,I,177.2,59.06666666666666,0.0
137,Student_137,Male,II,,,100.0
138,Student_138,Other,III,172.1,57.36666666666667,0.0
139,Student_139,Female,I,198.0,66.0,100.0
140,Student_140,Other,II,242.0,80.66666666666667,100.0
141,Student_141,Male,III,,,0.0
142,Student_142,Female,I,266.3,88.76666666666667,100.0
143,Student_143,Male,II,,,100.0
144,Student_144,Other,III,524.8,87.46666666666665,0.0
145,Student_145,Female,I,,,100.0
146,Student_146,Male,II,781.5,86.83333333333333,0.0
147,Student_147,Male,III,,,100.0
148,Student_148,Female,I,210.1,70.03333333333333,100.0
149,Student_149,Male,II,221.3,73.76666666666667,100.0
150,Student_150,Male,III,171.39999999999998,57.133333333333326,0.0
151,Student_151,Other,I,,,0.0
152,Student_152,Other,II,272.6,45.43333333333334,100.0
153,Student_153,Female,III,53.7,17.900000000000002,0.0
154,Student_154,Other,I,567.4,94.56666666666666,100.0
155,Student_155,Female,II,138.2,46.06666666666666,100.0
156,Student_156,Male,III,422.2,70.36666666666666,100.0
157,Student_157,Other,I,,,0.0
158,Student_158,Male,II,109.19999999999999,36.4,100.0
159,Student_159,Other,III,,,0.0
160,Student_160,Female,I,231.4,77.13333333333334,0.0
161,Student_161,Male,II,153.4,51.13333333333333,100.0
162,Student_162,Male,III,421.2,70.2,100.0
163,Student_163,Other,I,103.0,34.333333333333336,0.0
164,Student_164,Other,II,226.2,75.39999999999999,100.0
165,Student_165,Female,III,,,0.0
166,Student_166,Male,I,184.7,61.56666666666666,0.0
167,Student_167,Other,II,,,0.0
168,Student_168,Other,III,107.7,35.9,0.0
169,Student_169,Female,I,,,0.0
170,Student_170,Female,II,246.5,82.16666666666667,100.0
171,Student_171,Other,III,,,100.0
172,Student_172,Female,I,268.4,89.46666666666665,0.0
173,Student_173,Male,II,,,0.0
174,Student_174,Male,III,134.0,44.666666666666664,0.0
175,Student_175,Female,I,,,0.0
176,Student_176,Other,II,182.39999999999998,60.79999999999999,100.0
177,Student_177,Other,III,,,100.0
178,Student_178,Female,I,175.2,58.4,100.0
179,Student_179,Male,II,100.1,33.36666666666667,0.0
180,Student_180,Female,III,110.3,36.766666666666666,0.0
181,Student_181,Male,I,,,100.0
182,Student_182,Female,II,154.3,51.43333333333334,100.0
183,Student_183,Female,III,224.7,74.89999999999999,0.0
184,Student_184,Other,I,532.8,88.8,0.0
185,Student_185,Other,II,,,100.0
186,Student_186,Other,III,113.7,37.9,0.0
187,Student_187,Male,I,147.6,49.199999999999996,100.0
188,Student_188,Other,II,332.2,55.36666666666667,100.0
189,Student_189,Male,III,,,0.0
190,Student_190,Female,I,216.5,72.16666666666667,0.0
191,Student_191,Other,II,492.8,82.13333333333334,100.0
192,Student_192,Other,III,114.19999999999999,19.03333333333333,0.0
193,Student_193,Female,I,204.3,68.10000000000001,0.0
194,Student_194,Male,II,540.4,90.06666666666666,0.0
195,Student_195,Female,III,98.4,32.800000000000004,0.0
196,Student_196,Other,I,279.4,93.13333333333333,100.0
197,Student_197,Female,II,,,0.0
198,Student_198,Female,III,547.2,91.2,100.0
199,Student_199,Female,I,,,100.0
200,Student_200,Female,II,154.7,51.56666666666666,0.0
201,Student_201,Male,III,,,100.0
202,Student_202,Other,I,250.8,41.800000000000004,0.0
203,Student_203,Male,II,292.8,97.60000000000001,100.0
204,Student_204,Other,III,240.2,40.03333333333333,0.0
205,Student_205,Male,I,159.5,53.166666666666664,100.0
206,Student_206,Female,II,482.79999999999995,80.46666666666665,100.0
207,Student_207,Female,III,237.5,79.16666666666667,100.0
208,Student_208,Female,I,195.5,65.16666666666667,0.0
209,Student_209,Female,II,,,0.0
210,Student_210,Other,III,260.2,86.73333333333333,100.0
211,Student_211,Male,I,,,100.0
212,Student_212,Other,II,216.1,72.03333333333333,100.0
213,Student_213,Other,III,,,0.0
214,Student_214,Other,I,178.2,59.4,0.0
215,Student_215,Male,II,,,100.0
216,Student_216,Male,III,359.0,59.833333333333336,0.0
217,Student_217,Female,I,,,100.0
218,Student_218,Male,II,118.3,39.43333333333333,0.0
219,Student_219,Other,III,,,100.0
220,Student_220,Other,I,145.10000000000002,48.366666666666674,0.0
221,Student_221,Female,II,,,0.0
222,Student_222,Other,III,270.8,90.26666666666667,0.0
223,Student_223,Male,I,,,100.0
224,Student_224,Other,II,182.89999999999998,60.96666666666666,100.0
225,Student_225,Male,III,259.8,86.60000000000001,100.0
226,Student_226,Other,I,267.2,89.06666666666666,100.0
227,Student_227,Female,II,180.9,60.300000000000004,0.0
228,Student_228,Female,III,252.60000000000002,84.2,100.0
229,Student_229,Male,I,,,0.0
230,Student_230,Female,II,165.79999999999998,55.26666666666666,0.0
231,Student_231,Other,III,,,0.0
232,Student_232,Other,I,467.4,77.89999999999999,100.0
233,Student_233,Female,II,273.4,45.56666666666666,100.0
234,Student_234,Male,III,136.8,45.6,0.0
235,Student_235,Female,I,,,100.0
236,Student_236,Other,II,251.8,41.96666666666667,100.0
237,Student_237,Male,III,258.5,86.16666666666667,100.0
238,Student_238,Other,I,291.3,97.10000000000001,100.0
239,Student_239,Other,II,,,0.0
240,Student_240,Other,III,112.9,37.63333333333333,0.0
241,Student_241,Female,I,,,100.0
242,Student_242,Male,II,162.39999999999998,27.066666666666663,0.0
243,Student_243,Male,III,227.6,75.86666666666666,100.0
244,Student_244,Other,I,232.60000000000002,77.53333333333335,100.0
245,Student_245,Female,II,273.3,91.10000000000001,100.0
246,Student_246,Male,III,116.5,38.833333333333336,100.0
247,Student_247,Other,I,,,0.0
248,Student_248,Male,II,201.9,67.3,0.0
249,Student_249,Other,III,,,0.0
250,Student_250,Female,I,527.7,58.63333333333334,0.0
251,Student_251,Female,II,250.5,83.5,0.0
252,Student_252,Male,III,161.8,53.93333333333334,0.0
253,Student_253,Male,I,,,0.0
254,Student_254,Other,II,143.7,71.85,0.0
255,Student_255,Female,III,,,100.0
256,Student_256,Other,I,206.5,68.83333333333333,0.0
257,Student_257,Other,II,,,0.0
258,Student_258,Male,III,81.5,27.166666666666668,100.0
259,Student_259,Female,I,,,0.0
260,Student_260,Other,II,266.0,88.66666666666667,100.0
261,Student_261,Female,III,229.0,76.33333333333333,100.0
262,Student_262,Female,I,202.7,67.56666666666666,100.0
263,Student_263,Female,II,,,0.0
264,Student_264,Other,III,111.6,37.199999999999996,0.0
265,Student_265,Other,I,374.4,62.4,100.0
266,Student_266,Other,II,179.4,59.800000000000004,100.0
267,Student_267,Female,III,,,100.0
268,Student_268,Female,I,214.2,71.39999999999999,0.0
269,Student_269,Female,II,202.79999999999998,67.6,0.0
270,Student_270,Male,III,442.0,73.66666666666667,100.0
271,Student_271,Other,I,64.0,21.333333333333332,0.0
272,Student_272,Male,II,593.8,98.96666666666665,100.0
273,Student_273,Other,III,,,100.0
274,Student_274,Female,I,191.2,63.73333333333333,0.0
275,Student_275,Other,II,,,0.0
276,Student_276,Other,III,252.0,84.0,0.0
277,Student_277,Female,I,,,0.0
278,Student_278,Female,II,788.0,65.66666666666667,0.0
279,Student_279,Female,III,190.8,63.6,100.0
280,Student_280,Female,I,341.4,56.9,0.0
281,Student_281,Male,II,,,0.0
282,Student_282,Male,III,203.9,67.96666666666667,0.0
283,Student_283,Other,I,251.7,83.89999999999999,0.0
284,Student_284,Other,II,122.4,40.800000000000004,100.0
285,Student_285,Male,III,,,100.0
286,Student_286,Male,I,108.0,36.0,0.0
287,Student_287,Female,II,,,100.0
288,Student_288,Other,III,387.6,64.60000000000001,0.0
289,Student_289,Other,I,,,100.0
290,Student_290,Other,II,98.0,32.666666666666664,0.0
291,Student_291,Male,III,,,0.0
292,Student_292,Male,I,221.0,73.66666666666667,0.0
293,Student_293,Female,II,,,100.0
294,Student_294,Male,III,146.1,48.699999999999996,0.0
295,Student_295,Female,I,245.7,81.89999999999999,0.0
296,Student_296,Female,II,148.8,49.6,100.0
297,Student_297,Other,III,,,100.0
298,Student_298,Male,I,131.0,43.666666666666664,0.0
299,Student_299,Other,II,221.8,73.93333333333334,0.0
300,Student_300,Other,III,160.4,53.46666666666667,100.0
301,Student_301,Other,I,,,0.0
302,Student_302,Other,II,376.2,62.699999999999996,0.0
303,Student_303,Other,III,,,0.0
304,Student_304,Male,I,226.0,75.33333333333333,100.0
305,Student_305,Female,II,,,100.0
306,Student_306,Female,III,253.2,42.199999999999996,100.0
307,Student_307,Other,I,,,100.0
308,Student_308,Male,II,678.0,75.33333333333333,100.0
309,Student_309,Female,III,85.9,28.633333333333336,0.0
310,Student_310,Male,I,169.7,56.56666666666666,100.0
311,Student_311,Male,II,,,0.0
312,Student_312,Other,III,276.4,92.13333333333333,100.0
313,Student_313,Male,I,,,0.0
314,Student_314,Other,II,227.0,75.66666666666667,100.0
315,Student_315,Other,III,313.0,52.166666666666664,100.0
316,Student_316,Other,I,295.4,98.46666666666665,100.0
317,Student_317,Male,II,,,100.0
318,Student_318,Male,III,523.8,58.199999999999996,100.0
319,Student_319,Female,I,,,0.0
320,Student_320,Female,II,223.5,74.5,0.0
321,Student_321,Other,III,,,100.0
322,Student_322,Female,I,283.6,94.53333333333335,0.0
323,Student_323,Male,II,,,0.0
324,Student_324,Other,III,78.5,26.166666666666668,0.0
325,Student_325,Other,I,,,100.0
326,Student_326,Female,II,227.0,37.833333333333336,100.0
327,Student_327,Other,III,,,0.0
328,Student_328,Other,I,198.1,66.03333333333333,100.0
329,Student_329,Female,II,,,100.0
330,Student_330,Male,III,286.4,95.46666666666665,100.0
331,Student_331,Female,I,,,0.0
332,Student_332,Female,II,130.0,43.333333333333336,100.0
333,Student_333,Other,III,,,0.0
334,Student_334,Other,I,234.0,78.0,100.0
335,Student_335,Female,II,,,100.0
336,Student_336,Female,III,214.6,71.53333333333333,0.0
337,Student_337,Female,I,239.7,79.89999999999999,0.0
338,Student_338,Female,II,232.5,77.5,0.0
339,Student_339,Female,III,248.2,82.73333333333333,0.0
340,Student_340,Female,I,140.7,46.9,0.0
341,Student_341,Female,II,297.1,99.03333333333335,100.0
342,Student_342,Other,III,201.10000000000002,67.03333333333335,0.0
343,Student_343,Male,I,,,100.0
344,Student_344,Male,II,171.4,57.13333333333333,100.0
345,Student_345,Other,III,,,100.0
346,Student_346,Other,I,170.7,56.9,0.0
347,Student_347,Female,II,,,100.0
348,Student_348,Female,III,293.9,97.96666666666665,100.0
349,Student_349,Female,I,140.5,46.833333333333336,0.0
350,Student_350,Female,II,135.7,45.23333333333333,0.0
351,Student_351,Male,III,,,100.0
352,Student_352,Female,I,186.5,62.166666666666664,0.0
353,Student_353,Male,II,,,0.0
354,Student_354,Male,III,179.10000000000002,59.70000000000001,0.0
355,Student_355,Female,I,,,100.0
356,Student_356,Other,II,212.39999999999998,70.8,100.0
357,Student_357,Male,III,,,100.0
358,Student_358,Other,I,105.8,35.266666666666666,0.0
359,Student_359,Female,II,188.8,62.93333333333334,100.0
360,Student_360,Other,III,252.2,84.06666666666666,0.0
361,Student_361,Female,I,,,100.0
362,Student_362,Other,II,133.3,44.43333333333334,100.0
363,Student_363,Female,III,,,100.0
364,Student_364,Other,I,246.3,82.10000000000001,100.0
365,Student_365,Female,II,216.8,72.26666666666667,100.0
366,Student_366,Female,III,270.20000000000005,45.03333333333334,0.0
367,Student_367,Female,I,,,0.0
368,Student_368,Other,II,251.2,83.73333333333333,100.0
369,Student_369,Other,III,,,0.0
370,Student_370,Male,I,428.6,71.43333333333334,0.0
371,Student_371,Other,II,170.1,56.699999999999996,0.0
372,Student_372,Other,III,169.8,28.3,100.0
373,Student_373,Other,I,,,100.0
374,Student_374,Female,II,274.4,91.46666666666665,0.0
375,Student_375,Female,III,122.9,40.96666666666667,100.0
376,Student_376,Other,I,209.20000000000002,34.86666666666667,0.0
377,Student_377,Female,II,,,100.0
378,Student_378,Female,III,190.0,63.333333333333336,0.0
379,Student_379,Female,I,106.4,35.46666666666667,100.0
380,Student_380,Female,II,300.0,100.0,100.0
381,Student_381,Male,III,,,100.0
382,Student_382,Male,I,248.7,82.89999999999999,100.0
383,Student_383,Male,II,233.5,77.83333333333333,0.0
384,Student_384,Female,III,533.4,88.89999999999999,0.0
385,Student_385,Female,I,246.8,82.26666666666667,0.0
386,Student_386,Female,II,259.1,86.36666666666667,100.0
387,Student_387,Other,III,270.0,90.0,100.0
388,Student_388,Male,I,183.3,61.1,0.0
389,Student_389,Female,II,,,0.0
390,Student_390,Male,III,129.9,43.300000000000004,100.0
391,Student_391,Male,I,142.1,47.36666666666667,0.0
392,Student_392,Female,II,487.6,81.26666666666667,100.0
393,Student_393,Male,III,139.4,46.46666666666667,0.0
394,Student_394,Male,I,289.1,96.36666666666667,100.0
395,Student_395,Other,II,,,0.0
396,Student_396,Other,III,296.8,49.46666666666667,100.0
397,Student_397,Male,I,,,100.0
398,Student_398,Male,II,85.9,28.633333333333336,0.0
399,Student_399,Male,III,,,100.0
400,Student_400,Female,I,197.8,65.93333333333334,0.0
401,Student_401,Other,II,,,100.0
402,Student_402,Male,III,243.6,81.2,100.0
403,Student_403,Male,I,,,0.0
404,Student_404,Female,II,526.0,87.66666666666667,100.0
405,Student_405,Other,III,246.0,82.0,0.0
406,Student_406,Female,I,302.6,50.43333333333334,0.0
407,Student_407,Other,II,112.8,37.6,0.0
408,Student_408,Female,III,239.10000000000002,79.7,0.0
409,Student_409,Male,I,,,100.0
410,Student_410,Female,II,116.4,38.800000000000004,100.0
411,Student_411,Other,III,,,0.0
412,Student_412,Female,I,176.9,58.96666666666667,0.0
413,Student_413,Male,II,,,0.0
414,Student_414,Male,III,149.4,49.800000000000004,100.0
415,Student_415,Female,I,,,100.0
416,Student_416,Female,II,181.3,60.43333333333334,100.0
417,Student_417,Female,III,,,0.0
418,Student_418,Female,I,112.6,37.53333333333333,0.0
419,Student_419,Female,II,119.80000000000001,39.93333333333334,0.0
420,Student_420,Female,III,177.3,59.1,100.0
421,Student_421,Male,I,,,100.0
422,Student_422,Female,II,255.1,85.03333333333333,100.0
423,Student_423,Female,III,,,100.0
424,Student_424,Other,I,216.8,36.13333333333333,0.0
425,Student_425,Other,II,,,0.0
426,Student_426,Female,III,132.8,44.26666666666667,100.0
427,Student_427,Male,I,,,0.0
428,Student_428,Male,II,170.0,56.666666666666664,0.0
429,Student_429,Male,III,,,0.0
430,Student_430,Male,I,155.9,51.96666666666667,100.0
431,Student_431,Other,II,,,0.0
432,Student_432,Male,III,282.5,94.16666666666667,100.0
433,Student_433,Male,I,,,100.0
434,Student_434,Female,II,168.4,56.13333333333333,100.0
435,Student_435,Male,III,,,0.0
436,Student_436,Other,I,176.2,58.73333333333333,0.0
437,Student_437,Other,II,,,100.0
438,Student_438,Other,III,256.2,42.699999999999996,0.0
439,Student_439,Female,I,,,0.0
440,Student_440,Female,II,251.9,83.96666666666667,0.0
441,Student_441,Female,III,,,100.0
442,Student_442,Male,I,186.5,62.166666666666664,100.0
443,Student_443,Female,II,155.1,51.699999999999996,100.0
444,Student_444,Other,III,263.3,87.76666666666667,100.0
445,Student_445,Male,I,,,0.0
446,Student_446,Male,II,203.6,67.86666666666666,0.0
447,Student_447,Female,III,164.3,54.76666666666667,0.0
448,Student_448,Female,I,278.5,92.83333333333333,100.0
449,Student_449,Other,II,,,0.0
450,Student_450,Other,III,251.4,83.8,100.0
451,Student_451,Other,I,,,0.0
452,Student_452,Female,II,145.5,48.5,0.0
453,Student_453,Other,III,,,100.0
454,Student_454,Male,I,211.39999999999998,70.46666666666665,0.0
455,Student_455,Female,II,,,0.0
456,Student_456,Male,III,156.0,52.0,0.0
457,Student_457,Other,I,,,0.0
458,Student_458,Female,II,193.0,64.33333333333333,0.0
459,Student_459,Female,III,,,0.0
460,Student_460,Male,I,154.5,51.5,0.0
461,Student_461,Other,II,,,100.0
462,Student_462,Female,III,256.3,85.43333333333334,100.0
463,Student_463,Other,I,,,0.0
464,Student_464,Female,II,161.5,53.833333333333336,100.0
465,Student_465,Male,III,,,0.0
466,Student_466,Female,I,214.8,71.60000000000001,100.0
467,Student_467,Female,II,226.0,75.33333333333333,100.0
468,Student_468,Male,III,250.8,83.60000000000001,100.0
469,Student_469,Male,I,,,0.0
470,Student_470,Other,II,141.6,47.199999999999996,100.0
471,Student_471,Female,III,,,0.0
472,Student_472,Female,I,226.0,75.33333333333333,0.0
473,Student_473,Female,II,,,100.0
474,Student_474,Other,III,113.5,37.833333333333336,0.0
475,Student_475,Male,I,,,100.0
476,Student_476,Female,II,488.6,81.43333333333334,100.0
477,Student_477,Male,III,,,100.0
478,Student_478,Male,I,97.4,32.46666666666667,100.0
479,Student_479,Male,II,251.2,83.73333333333333,100.0
480,Student_480,Female,III,203.0,67.66666666666667,0.0
481,Student_481,Female,I,,,100.0
482,Student_482,Female,II,133.7,44.56666666666666,100.0
483,Student_483,Other,III,,,0.0
484,Student_484,Female,I,177.7,59.23333333333333,0.0
485,Student_485,Female,II,,,0.0
486,Student_486,Other,III,179.0,59.666666666666664,0.0
487,Student_487,Female,I,,,100.0
488,Student_488,Other,II,240.8,80.26666666666667,0.0
489,Student_489,Male,III,,,100.0
490,Student_490,Other,I,199.4,66.46666666666667,100.0
491,Student_491,Other,II,,,100.0
492,Student_492,Female,III,254.20000000000002,84.73333333333333,100.0
493,Student_493,Male,I,,,100.0
494,Student_494,Female,II,300.0,100.0,100.0
495,Student_495,Other,III,154.3,51.43333333333334,100.0
496,Student_496,Female,I,310.4,51.73333333333333,0.0
497,Student_497,Male,II,,,100.0
498,Student_498,Male,III,280.3,93.43333333333334,100.0
499,Student_499,Female,I,,,100.0
500,Student_500,Other,II,170.1,56.699999999999996,0.0
501,Student_501,Female,III,,,100.0
502,Student_502,Other,I,204.1,68.03333333333333,100.0
503,Student_503,Other,II,,,100.0
504,Student_504,Male,III,128.0,42.666666666666664,0.0
505,Student_505,Male,I,362.6,60.43333333333334,0.0
506,Student_506,Other,II,110.4,36.800000000000004,0.0
507,Student_507,Female,III,119.2,39.733333333333334,100.0
508,Student_508,Other,I,119.5,39.833333333333336,0.0
509,Student_509,Other,II,217.8,72.60000000000001,100.0
510,Student_510,Female,III,237.29999999999998,79.1,100.0
511,Student_511,Male,I,,,0.0
512,Student_512,Other,II,170.2,56.73333333333333,0.0
513,Student_513,Female,III,242.1,80.7,100.0
514,Student_514,Male,I,236.89999999999998,78.96666666666665,100.0
515,Student_515,Female,II,401.79999999999995,66.96666666666665,100.0
516,Student_516,Male,III,433.6,72.26666666666667,100.0
517,Student_517,Male,I,,,100.0
518,Student_518,Female,II,201.6,67.2,0.0
519,Student_519,Female,III,,,0.0
520,Student_520,Female,I,172.4,57.46666666666667,0.0
521,Student_521,Other,II,,,0.0
522,Student_522,Female,III,553.2,92.2,100.0
523,Student_523,Other,I,204.8,68.26666666666667,0.0
524,Student_524,Other,II,495.0,82.5,100.0
525,Student_525,Other,III,,,0.0
526,Student_526,Male,I,209.4,69.8,0.0
527,Student_527,Other,II,232.6,77.53333333333333,0.0
528,Student_528,Male,III,251.7,83.89999999999999,0.0
529,Student_529,Female,I,,,0.0
530,Student_530,Female,II,203.2,67.73333333333333,100.0
531,Student_531,Male,III,,,0.0
532,Student_532,Male,I,260.8,86.93333333333334,0.0
533,Student_533,Other,II,,,100.0
534,Student_534,Other,III,209.5,69.83333333333333,0.0
535,Student_535,Male,I,504.6,84.10000000000001,100.0
536,Student_536,Female,II,151.3,50.43333333333334,100.0
537,Student_537,Male,III,,,0.0
538,Student_538,Other,I,96.1,32.03333333333333,0.0
539,Student_539,Other,II,,,100.0
540,Student_540,Other,III,278.3,92.76666666666667,0.0
541,Student_541,Female,I,,,0.0
542,Student_542,Male,II,481.79999999999995,80.3,0.0
543,Student_543,Male,III,,,0.0
544,Student_544,Male,I,249.2,83.06666666666666,100.0
545,Student_545,Other,II,221.10000000000002,73.7,100.0
546,Student_546,Male,III,809.1,89.9,100.0
547,Student_547,Other,I,,,0.0
548,Student_548,Other,II,240.8,80.26666666666667,100.0
549,Student_549,Male,III,,,100.0
550,Student_550,Other,I,146.2,73.1,100.0
551,Student_551,Other,II,,,100.0
552,Student_552,Female,III,436.0,72.66666666666667,100.0
553,Student_553,Female,I,263.8,87.93333333333334,0.0
554,Student_554,Male,II,150.8,50.26666666666667,100.0
555,Student_555,Female,III,,,100.0
556,Student_556,Other,I,197.2,65.73333333333333,0.0
557,Student_557,Female,II,42.6,7.1000000000000005,0.0
558,Student_558,Male,III,194.6,64.86666666666666,0.0
559,Student_559,Female,I,,,100.0
560,Student_560,Other,II,246.8,41.13333333333333,100.0
561,Student_561,Male,III,114.30000000000001,57.150000000000006,100.0
562,Student_562,Other,I,211.29999999999998,70.43333333333332,100.0
563,Student_563,Male,II,,,0.0
564,Student_564,Male,III,208.1,69.36666666666666,100.0
565,Student_565,Female,I,,,0.0
566,Student_566,Female,II,166.5,55.5,100.0
567,Student_567,Other,III,,,0.0
568,Student_568,Male,I,265.7,88.56666666666666,100.0
569,Student_569,Male,II,,,0.0
570,Student_570,Female,III,122.6,40.86666666666667,100.0
571,Student_571,Other,I,289.0,96.33333333333333,0.0
