Adm_No,Subject,Marks,Percentage,Term
133,Maths,49.8,43.3,Mid
134,Maths,99.2,78.3,Final
135,Maths,77.4,73.4,Mid
136,Maths,59.8,50.1,Final
137,Maths,72.8,81.6,Mid
138,Maths,43.6,54.2,Final
139,Maths,59.7,67.6,Mid
140,Maths,88.7,85.7,Final
141,Maths,53.8,52.6,Mid
142,Maths,73.5,89.7,Final
143,Maths,58.5,62.0,Mid
144,Maths,79.1,78.7,Final
145,Maths,99.1,95.6,Mid
146,Maths,90.9,90.2,Final
147,Maths,93.3,84.5,Mid
148,Maths,58.1,71.7,Final
149,Maths,87.0,68.7,Mid
150,Maths,41.0,61.2,Final
151,Maths,47.8,36.9,Mid
152,Maths,52.8,39.3,Final
153,Maths,12.8,22.6,Mid
154,Maths,100.0,87.5,Final
155,Maths,45.4,46.8,Mid
156,Maths,75.8,77.5,Final
157,Maths,35.6,26.5,Mid
158,Maths,39.8,38.4,Final
159,Maths,53.4,58.1,Mid
160,Maths,82.7,86.0,Final
161,Maths,51.0,48.9,Mid
162,Maths,80.1,86.0,Final
163,Maths,43.3,37.8,Mid
164,Maths,67.0,71.9,Final
165,Maths,39.0,43.4,Mid
166,Maths,54.1,58.3,Final
167,Maths,18.0,37.8,Mid
168,Maths,29.6,32.4,Final
169,Maths,70.4,66.2,Mid
170,Maths,95.2,78.4,Final
171,Maths,54.8,39.6,Mid
172,Maths,86.9,86.7,Final
173,Maths,80.7,80.8,Mid
174,Maths,43.7,50.5,Final
175,Maths,55.8,48.2,Mid
176,Maths,50.8,63.4,Final
177,Maths,77.3,86.1,Mid
178,Maths,48.0,63.1,Final
179,Maths,35.8,36.9,Mid
180,Maths,45.7,43.7,Final
181,Maths,38.0,49.5,Mid
182,Maths,49.9,59.5,Final
183,Maths,78.7,73.0,Mid
184,Maths,79.1,81.5,Final
185,Maths,50.3,59.7,Mid
186,Maths,32.5,38.6,Final
187,Maths,51.7,44.7,Mid
188,Maths,64.3,58.4,Final
189,Maths,70.4,71.8,Mid
190,Maths,65.5,76.1,Final
191,Maths,73.9,86.6,Mid
192,Maths,7.6,25.5,Final
193,Maths,71.1,80.1,Mid
194,Maths,90.4,84.1,Final
195,Maths,24.7,32.5,Mid
196,Maths,82.8,93.0,Final
197,Maths,62.6,71.9,Mid
198,Maths,86.3,90.7,Final
199,Maths,71.3,60.9,Mid
200,Maths,45.7,54.9,Final
201,Maths,84.0,90.0,Mid
202,Maths,38.3,50.1,Final
203,Maths,100.0,100.0,Mid
204,Maths,41.8,42.2,Final
205,Maths,45.8,59.9,Mid
206,Maths,72.1,82.7,Final
207,Maths,84.1,80.2,Mid
208,Maths,68.6,57.8,Final
209,Maths,58.9,65.2,Mid
210,Maths,89.1,82.5,Final
211,Maths,79.9,76.2,Mid
212,Maths,84.3,65.5,Final
213,Maths,52.9,62.8,Mid
214,Maths,79.3,61.4,Final
215,Maths,90.9,83.2,Mid
216,Maths,58.4,67.5,Final
217,Maths,82.4,75.7,Mid
218,Maths,35.3,43.0,Final
219,Maths,54.4,52.1,Mid
220,Maths,53.2,47.3,Final
221,Maths,55.3,61.5,Mid
222,Maths,100.0,82.4,Final
223,Maths,99.0,99.1,Mid
224,Maths,69.6,69.1,Final
225,Maths,85.5,77.4,Mid
226,Maths,93.0,85.6,Final
227,Maths,72.0,63.1,Mid
228,Maths,87.3,80.2,Final
229,Maths,76.3,54.8,Mid
230,Maths,47.1,44.6,Final
231,Maths,99.2,97.2,Mid
232,Maths,83.9,70.5,Final
233,Maths,39.8,39.7,Mid
234,Maths,41.0,52.6,Final
235,Maths,90.5,95.5,Mid
236,Maths,34.5,39.4,Final
237,Maths,100.0,87.6,Mid
238,Maths,92.3,100.0,Final
239,Maths,51.8,63.7,Mid
240,Maths,47.9,39.2,Final
241,Maths,56.6,36.1,Mid
242,Maths,14.4,28.6,Final
243,Maths,85.1,64.0,Mid
244,Maths,72.7,82.2,Final
245,Maths,77.5,95.8,Mid
246,Maths,29.1,44.0,Final
247,Maths,69.7,69.1,Mid
248,Maths,66.0,70.3,Final
249,Maths,39.1,40.0,Mid
250,Maths,53.7,59.2,Final
251,Maths,74.3,87.5,Mid
252,Maths,55.5,48.8,Final
253,Maths,27.0,32.5,Mid
254,Maths,,63.2,Final
255,Maths,45.0,38.2,Mid
256,Maths,74.0,77.6,Final
257,Maths,82.6,87.9,Mid
258,Maths,13.5,34.9,Final
259,Maths,66.7,58.4,Mid
260,Maths,95.2,93.4,Final
261,Maths,80.5,75.8,Mid
262,Maths,58.2,67.4,Final
263,Maths,86.2,86.1,Mid
264,Maths,23.7,36.2,Final
265,Maths,65.3,75.7,Mid
266,Maths,68.4,55.3,Final
267,Maths,48.2,51.8,Mid
268,Maths,71.0,72.6,Final
269,Maths,54.6,69.4,Mid
270,Maths,65.1,74.9,Final
271,Maths,18.7,30.2,Mid
272,Maths,96.9,100.0,Final
273,Maths,52.3,58.8,Mid
274,Maths,58.8,62.3,Final
275,Maths,54.4,49.2,Mid
276,Maths,83.2,69.0,Final
277,Maths,64.8,60.3,Mid
278,Maths,47.6,58.1,Final
279,Maths,57.5,70.7,Mid
280,Maths,46.4,56.5,Final
281,Maths,77.3,75.9,Mid
282,Maths,69.4,59.3,Final
283,Maths,85.8,76.3,Mid
284,Maths,48.7,28.0,Final
285,Maths,45.7,46.8,Mid
286,Maths,31.0,36.4,Final
287,Maths,52.0,52.6,Mid
288,Maths,51.0,69.3,Final
289,Maths,53.0,53.1,Mid
290,Maths,27.4,31.0,Final
291,Maths,30.1,42.2,Mid
292,Maths,77.4,64.6,Final
293,Maths,74.9,82.4,Mid
294,Maths,50.9,55.9,Final
295,Maths,72.7,88.3,Mid
296,Maths,49.5,48.0,Final
297,Maths,92.9,73.4,Mid
298,Maths,50.5,48.5,Final
299,Maths,86.0,75.1,Mid
300,Maths,50.1,56.7,Final
301,Maths,97.5,90.9,Mid
302,Maths,60.0,67.6,Final
303,Maths,49.6,60.2,Mid
304,Maths,77.5,73.2,Final
305,Maths,78.4,64.3,Mid
306,Maths,37.1,45.8,Final
307,Maths,99.7,96.6,Mid
308,Maths,55.3,75.0,Final
309,Maths,28.2,39.1,Mid
310,Maths,76.3,50.3,Final
311,Maths,43.4,48.2,Mid
312,Maths,85.3,91.6,Final
313,Maths,58.2,51.9,Mid
314,Maths,67.0,77.7,Final
315,Maths,53.7,47.6,Mid
316,Maths,100.0,100.0,Final
317,Maths,47.1,50.5,Mid
318,Maths,65.0,50.5,Final
319,Maths,65.5,81.4,Mid
320,Maths,70.7,74.5,Final
321,Maths,82.4,69.2,Mid
322,Maths,100.0,90.7,Final
323,Maths,30.4,35.1,Mid
324,Maths,27.3,34.1,Final
325,Maths,58.1,55.8,Mid
326,Maths,26.4,46.2,Final
327,Maths,68.2,68.1,Mid
328,Maths,63.5,60.8,Final
329,Maths,56.4,64.1,Mid
330,Maths,95.9,96.0,Final
331,Maths,55.8,55.8,Mid
332,Maths,30.2,45.1,Final
333,Maths,60.9,61.6,Mid
334,Maths,68.4,82.6,Final
335,Maths,62.8,69.4,Mid
336,Maths,74.4,79.6,Final
337,Maths,92.7,77.6,Mid
338,Maths,85.0,76.4,Final
339,Maths,97.2,81.9,Mid
340,Maths,45.7,51.8,Final
341,Maths,97.1,100.0,Mid
342,Maths,65.5,62.9,Final
343,Maths,52.9,51.9,Mid
344,Maths,59.1,47.9,Final
345,Maths,91.5,84.7,Mid
346,Maths,65.0,55.8,Final
347,Maths,87.8,90.6,Mid
348,Maths,100.0,99.6,Final
349,Maths,48.2,53.1,Mid
350,Maths,64.0,40.1,Final
351,Maths,41.3,44.4,Mid
352,Maths,66.5,65.1,Final
353,Maths,66.6,58.9,Mid
354,Maths,73.9,49.9,Final
355,Maths,88.3,77.6,Mid
356,Maths,62.3,70.8,Final
357,Maths,76.6,65.9,Mid
358,Maths,24.5,40.4,Final
359,Maths,55.1,60.3,Mid
360,Maths,70.7,78.5,Final
361,Maths,63.3,67.5,Mid
362,Maths,47.8,40.0,Final
363,Maths,80.4,69.4,Mid
364,Maths,90.7,78.2,Final
365,Maths,74.6,79.7,Mid
366,Maths,35.7,50.2,Final
367,Maths,67.2,62.3,Mid
368,Maths,85.1,82.9,Final
369,Maths,67.1,85.1,Mid
370,Maths,71.9,75.5,Final
371,Maths,50.7,61.0,Mid
372,Maths,11.7,33.1,Final
373,Maths,66.8,65.3,Mid
374,Maths,75.7,82.2,Final
375,Maths,31.5,37.8,Mid
376,Maths,41.5,40.8,Final
377,Maths,61.0,80.5,Mid
378,Maths,63.6,74.8,Final
379,Maths,38.7,36.3,Mid
380,Maths,100.0,100.0,Final
381,Maths,70.5,57.0,Mid
382,Maths,85.2,83.1,Final
383,Maths,89.5,83.7,Mid
384,Maths,83.8,82.9,Final
385,Maths,91.7,83.0,Mid
386,Maths,81.9,93.4,Final
387,Maths,86.6,93.7,Mid
388,Maths,58.1,59.2,Final
389,Maths,51.9,52.0,Mid
390,Maths,33.2,45.7,Final
391,Maths,27.5,43.5,Mid
392,Maths,71.6,80.8,Final
393,Maths,40.5,47.9,Mid
394,Maths,97.5,94.3,Final
395,Maths,14.0,34.9,Mid
396,Maths,65.3,42.4,Final
397,Maths,41.5,50.4,Mid
398,Maths,15.7,32.1,Final
399,Maths,30.1,43.8,Mid
400,Maths,60.0,61.5,Final
401,Maths,45.4,55.0,Mid
402,Maths,78.6,80.6,Final
403,Maths,51.9,56.1,Mid
404,Maths,89.1,88.2,Final
405,Maths,74.9,76.2,Mid
406,Maths,52.6,48.6,Final
407,Maths,48.3,31.9,Mid
408,Maths,77.4,81.6,Final
409,Maths,69.3,79.9,Mid
410,Maths,50.1,41.0,Final
411,Maths,62.1,58.3,Mid
412,Maths,60.0,61.2,Final
413,Maths,40.0,38.3,Mid
414,Maths,39.3,44.9,Final
415,Maths,94.2,80.8,Mid
416,Maths,64.4,55.1,Final
417,Maths,72.9,70.4,Mid
418,Maths,34.3,37.6,Final
419,Maths,28.2,45.9,Mid
420,Maths,66.5,58.8,Final
421,Maths,66.7,65.9,Mid
422,Maths,90.1,80.4,Final
423,Maths,67.3,81.6,Mid
424,Maths,39.7,41.3,Final
425,Maths,32.0,34.5,Mid
426,Maths,36.0,54.8,Final
427,Maths,58.8,73.9,Mid
428,Maths,60.8,58.1,Final
429,Maths,100.0,79.1,Mid
430,Maths,66.8,54.0,Final
431,Maths,42.2,60.4,Mid
432,Maths,87.3,85.4,Final
433,Maths,69.8,76.9,Mid
434,Maths,63.2,56.7,Final
435,Maths,53.8,52.6,Mid
436,Maths,52.9,59.2,Final
437,Maths,100.0,100.0,Mid
438,Maths,41.1,40.5,Final
439,Maths,84.2,81.7,Mid
440,Maths,86.6,86.6,Final
441,Maths,67.9,67.8,Mid
442,Maths,62.7,61.8,Final
443,Maths,64.0,50.8,Mid
444,Maths,90.8,81.9,Final
445,Maths,87.5,75.7,Mid
446,Maths,60.3,80.6,Final
447,Maths,46.2,41.9,Mid
448,Maths,81.0,91.5,Final
449,Maths,43.2,41.3,Mid
450,Maths,89.3,77.5,Final
451,Maths,26.2,37.0,Mid
452,Maths,52.3,50.0,Final
453,Maths,69.8,75.3,Mid
454,Maths,66.8,56.7,Final
455,Maths,,93.9,Mid
456,Maths,46.3,49.5,Final
457,Maths,74.4,76.9,Mid
458,Maths,64.7,61.8,Final
459,Maths,49.8,32.5,Mid
460,Maths,51.1,48.5,Final
461,Maths,91.9,86.9,Mid
462,Maths,90.3,80.6,Final
463,Maths,35.2,36.9,Mid
464,Maths,52.0,61.9,Final
465,Maths,63.5,62.3,Mid
466,Maths,81.0,71.9,Final
467,Maths,79.1,79.9,Mid
468,Maths,81.0,91.4,Final
469,Maths,43.7,36.9,Mid
470,Maths,68.8,51.0,Final
471,Maths,34.9,34.3,Mid
472,Maths,67.0,75.0,Final
473,Maths,93.4,82.8,Mid
474,Maths,45.6,36.4,Final
475,Maths,82.1,76.2,Mid
476,Maths,79.9,77.4,Final
477,Maths,67.8,66.0,Mid
478,Maths,45.8,30.2,Final
479,Maths,91.1,83.8,Mid
480,Maths,65.4,65.9,Final
481,Maths,52.9,48.8,Mid
482,Maths,45.3,46.8,Final
483,Maths,43.8,45.8,Mid
484,Maths,63.9,66.2,Final
485,Maths,55.8,48.6,Mid
486,Maths,52.4,54.4,Final
487,Maths,60.2,60.6,Mid
488,Maths,81.6,79.3,Final
489,Maths,76.1,68.2,Mid
490,Maths,73.7,61.1,Final
491,Maths,53.8,60.0,Mid
492,Maths,88.9,83.4,Final
493,Maths,100.0,98.2,Mid
494,Maths,100.0,98.2,Final
495,Maths,43.1,60.2,Mid
496,Maths,50.4,50.7,Final
497,Maths,56.9,54.9,Mid
498,Maths,98.3,85.3,Final
499,Maths,83.1,70.8,Mid
500,Maths,63.6,57.1,Final
501,Maths,98.3,74.2,Mid
502,Maths,69.0,63.4,Final
503,Maths,81.4,86.1,Mid
504,Maths,48.0,38.4,Final
505,Maths,59.9,61.2,Mid
506,Maths,46.3,42.0,Final
507,Maths,37.8,46.9,Mid
508,Maths,33.3,38.5,Final
509,Maths,68.6,83.3,Mid
510,Maths,80.6,80.3,Final
511,Maths,60.1,66.6,Mid
512,Maths,67.7,44.8,Final
513,Maths,91.6,79.2,Mid
514,Maths,82.0,86.5,Final
515,Maths,60.8,68.3,Mid
516,Maths,65.2,72.1,Final
517,Maths,84.0,92.0,Mid
518,Maths,54.6,63.9,Final
519,Maths,37.5,38.1,Mid
520,Maths,52.9,59.4,Final
521,Maths,29.5,39.9,Mid
522,Maths,95.1,82.5,Final
523,Maths,65.5,71.0,Mid
524,Maths,85.5,91.1,Final
525,Maths,42.6,26.1,Mid
526,Maths,81.0,62.4,Final
527,Maths,87.8,78.7,Mid
528,Maths,86.8,84.5,Final
529,Maths,66.4,73.5,Mid
530,Maths,73.2,62.6,Final
531,Maths,79.7,84.9,Mid
532,Maths,77.9,92.2,Final
533,Maths,95.8,100.0,Mid
534,Maths,60.0,71.1,Final
535,Maths,77.5,85.6,Mid
536,Maths,56.8,42.8,Final
537,Maths,55.1,40.5,Mid
538,Maths,29.6,36.6,Final
539,Maths,72.5,79.2,Mid
540,Maths,86.0,94.6,Final
541,Maths,86.2,68.7,Mid
542,Maths,85.1,69.6,Final
543,Maths,55.8,62.3,Mid
544,Maths,81.2,70.2,Final
545,Maths,76.9,74.3,Mid
546,Maths,92.5,88.2,Final
547,Maths,73.7,67.4,Mid
548,Maths,80.0,82.1,Final
549,Maths,91.3,94.3,Mid
550,Maths,,65.9,Final
551,Maths,68.2,68.0,Mid
552,Maths,77.8,73.7,Final
553,Maths,100.0,82.5,Mid
554,Maths,60.3,54.9,Final
555,Maths,90.9,89.8,Mid
556,Maths,64.5,68.3,Final
557,Maths,20.3,27.3,Mid
558,Maths,66.7,63.8,Final
559,Maths,40.5,46.5,Mid
560,Maths,41.6,44.4,Final
561,Maths,44.1,62.0,Mid
562,Maths,74.1,69.5,Final
563,Maths,60.8,68.7,Mid
564,Maths,81.1,61.3,Final
565,Maths,52.6,60.3,Mid
566,Maths,57.3,60.6,Final
567,Maths,76.9,77.2,Mid
568,Maths,85.4,89.1,Final
569,Maths,60.5,78.1,Mid
570,Maths,47.5,46.6,Final
571,Maths,100.0,97.3,Mid
572,Maths,69.0,71.8,Final
573,Maths,49.9,52.0,Mid
574,Maths,44.1,47.1,Final
575,Maths,47.8,55.7,Mid
576,Maths,64.7,70.6,Final
577,Maths,72.0,56.5,Mid
578,Maths,55.0,50.1,Final
579,Maths,63.1,54.5,Mid
580,Maths,54.7,59.6,Final
581,Maths,86.5,76.6,Mid
582,Maths,80.4,68.4,Final
583,Maths,58.4,61.8,Mid
584,Maths,100.0,75.6,Final
585,Maths,76.1,85.1,Mid
586,Maths,31.4,42.7,Final
587,Maths,49.0,56.7,Mid
588,Maths,57.5,61.8,Final
589,Maths,47.3,39.5,Mid
590,Maths,91.2,97.7,Final
591,Maths,74.4,93.8,Mid
592,Maths,38.7,44.1,Final
593,Maths,41.5,44.5,Mid
594,Maths,44.2,40.1,Final
595,Maths,41.0,65.9,Mid
596,Maths,41.9,45.0,Final
597,Maths,51.2,51.6,Mid
598,Maths,44.2,43.6,Final
599,Maths,84.0,76.7,Mid
600,Maths,90.7,100.0,Final
601,Maths,38.2,39.5,Mid
602,Maths,80.8,79.9,Final
603,Maths,66.7,69.4,Mid
604,Maths,49.9,45.7,Final
605,Maths,85.9,95.2,Mid
606,Maths,80.9,76.1,Final
607,Maths,67.0,69.4,Mid
608,Maths,73.1,65.3,Final
609,Maths,56.7,45.1,Mid
610,Maths,36.1,27.3,Final
611,Maths,39.7,52.8,Mid
612,Maths,73.0,79.4,Final
613,Maths,81.8,79.4,Mid
614,Maths,67.5,70.9,Final
615,Maths,49.7,56.0,Mid
616,Maths,48.1,39.5,Final
617,Maths,89.3,100.0,Mid
618,Maths,30.5,46.7,Final
619,Maths,73.8,83.5,Mid
620,Maths,40.6,37.1,Final
621,Maths,59.3,44.8,Mid
622,Maths,59.8,41.3,Final
623,Maths,68.4,70.9,Mid
624,Maths,38.9,48.5,Final
625,Maths,81.9,81.6,Mid
626,Maths,72.2,70.6,Final
627,Maths,25.4,42.5,Mid
628,Maths,52.6,71.0,Final
629,Maths,34.2,47.1,Mid
630,Maths,73.9,61.6,Final
631,Maths,80.7,83.2,Mid
632,Maths,94.4,99.9,Final
633,Maths,68.1,63.1,Mid
634,Maths,62.7,52.0,Final
635,Maths,69.1,76.6,Mid
636,Maths,58.5,57.1,Final
637,Maths,63.7,61.5,Mid
638,Maths,49.9,41.2,Final
639,Maths,59.1,59.2,Mid
640,Maths,84.6,99.2,Final
641,Maths,94.2,94.5,Mid
642,Maths,37.0,33.5,Final
643,Maths,85.0,86.3,Mid
644,Maths,77.0,83.8,Final
645,Maths,8.4,21.6,Mid
646,Maths,95.3,84.1,Final
647,Maths,100.0,97.5,Mid
648,Maths,87.1,86.8,Final
649,Maths,55.4,65.7,Mid
650,Maths,62.0,55.1,Final
651,Maths,69.0,74.7,Mid
652,Maths,57.7,75.2,Final
653,Maths,85.4,76.4,Mid
654,Maths,41.4,61.8,Final
655,Maths,69.5,71.9,Mid
656,Maths,89.0,81.3,Final
657,Maths,87.5,86.0,Mid
658,Maths,58.1,51.1,Final
659,Maths,75.0,64.3,Mid
660,Maths,14.3,23.9,Final
661,Maths,53.0,53.0,Mid
662,Maths,52.7,53.4,Final
663,Maths,75.8,76.8,Mid
664,Maths,83.6,76.9,Final
665,Maths,60.2,53.9,Mid
666,Maths,100.0,93.7,Final
667,Maths,49.3,59.3,Mid
668,Maths,41.8,38.7,Final
669,Maths,16.9,27.7,Mid
670,Maths,66.8,62.7,Final
671,Maths,99.8,83.6,Mid
672,Maths,54.2,39.2,Final
673,Maths,67.2,80.2,Mid
674,Maths,22.3,33.5,Final
675,Maths,47.0,42.8,Mid
676,Maths,66.0,71.7,Final
677,Maths,100.0,92.0,Mid
678,Maths,98.7,91.2,Final
679,Maths,82.6,77.6,Mid
680,Maths,49.0,59.6,Final
681,Maths,41.1,33.2,Mid
682,Maths,66.6,60.8,Final
683,Maths,71.6,72.2,Mid
684,Maths,54.4,69.1,Final
685,Maths,79.8,64.9,Mid
686,Maths,34.7,46.1,Final
687,Maths,39.2,54.1,Mid
688,Maths,88.8,84.0,Final
689,Maths,70.7,60.5,Mid
690,Maths,79.3,86.7,Final
691,Maths,49.5,59.0,Mid
692,Maths,72.1,68.9,Final
693,Maths,60.8,41.9,Mid
694,Maths,55.6,38.4,Final
695,Maths,53.6,44.4,Mid
696,Maths,56.3,53.3,Final
697,Maths,84.2,86.4,Mid
698,Maths,74.3,76.9,Final
699,Maths,54.4,57.5,Mid
700,Maths,53.5,51.7,Final
701,Maths,55.7,60.4,Mid
702,Maths,71.4,74.1,Final
703,Maths,32.4,38.6,Mid
704,Maths,48.4,50.2,Final
705,Maths,25.0,26.0,Mid
706,Maths,100.0,98.0,Final
707,Maths,65.6,60.2,Mid
708,Maths,100.0,76.3,Final
709,Maths,100.0,99.6,Mid
710,Maths,64.8,53.4,Final
711,Maths,57.4,44.2,Mid
712,Maths,65.8,60.8,Final
713,Maths,72.2,88.1,Mid
714,Maths,61.5,56.2,Final
715,Maths,32.1,35.3,Mid
716,Maths,34.0,39.5,Final
717,Maths,67.2,82.2,Mid
718,Maths,60.8,74.7,Final
719,Maths,26.7,28.7,Mid
720,Maths,80.1,77.3,Final
721,Maths,60.3,60.1,Mid
722,Maths,41.0,45.3,Final
723,Maths,68.7,63.7,Mid
724,Maths,74.3,67.2,Final
725,Maths,74.9,69.5,Mid
726,Maths,57.5,51.7,Final
727,Maths,63.3,55.6,Mid
728,Maths,42.8,60.8,Final
729,Maths,46.8,43.1,Mid
730,Maths,59.6,65.3,Final
731,Maths,76.8,58.4,Mid
732,Maths,79.3,68.0,Final
733,Maths,57.8,54.9,Mid
734,Maths,38.4,40.4,Final
735,Maths,36.1,57.8,Mid
736,Maths,59.9,71.4,Final
737,Maths,44.8,49.6,Mid
738,Maths,78.7,75.0,Final
739,Maths,37.4,41.3,Mid
740,Maths,68.0,53.2,Final
741,Maths,33.8,39.7,Mid
742,Maths,78.7,55.6,Final
743,Maths,68.2,80.6,Mid
744,Maths,56.4,49.3,Final
745,Maths,42.0,43.1,Mid
746,Maths,53.9,57.1,Final
747,Maths,62.1,62.7,Mid
748,Maths,92.0,100.0,Final
749,Maths,95.9,93.2,Mid
750,Maths,45.8,53.4,Final
751,Maths,46.1,43.9,Mid
752,Maths,54.0,50.1,Final
753,Maths,48.3,46.8,Mid
754,Maths,48.3,53.4,Final
755,Maths,48.4,34.5,Mid
756,Maths,10.6,28.0,Final
757,Maths,56.6,51.9,Mid
758,Maths,77.0,59.8,Final
759,Maths,72.6,61.6,Mid
760,Maths,82.2,93.3,Final
761,Maths,44.1,51.2,Mid
762,Maths,61.7,62.8,Final
763,Maths,27.8,39.3,Mid
764,Maths,31.6,38.6,Final
765,Maths,51.5,66.3,Mid
766,Maths,59.3,52.6,Final
767,Maths,100.0,94.1,Mid
768,Maths,77.2,84.1,Final
769,Maths,31.9,35.4,Mid
770,Maths,40.6,50.3,Final
771,Maths,39.5,33.9,Mid
772,Maths,70.0,77.3,Final
773,Maths,13.7,23.2,Mid
774,Maths,93.1,85.9,Final
775,Maths,53.6,41.7,Mid
776,Maths,83.8,82.6,Final
777,Maths,17.7,34.5,Mid
778,Maths,99.6,88.4,Final
779,Maths,42.6,58.7,Mid
780,Maths,24.4,37.0,Final
781,Maths,55.7,59.7,Mid
782,Maths,74.7,72.0,Final
783,Maths,55.3,59.8,Mid
784,Maths,87.0,74.0,Final
785,Maths,68.0,65.5,Mid
786,Maths,85.8,85.3,Final
787,Maths,33.0,46.4,Mid
788,Maths,97.2,83.9,Final
789,Maths,95.6,97.1,Mid
790,Maths,67.8,78.0,Final
791,Maths,82.4,88.9,Mid
792,Maths,58.7,44.9,Final
793,Maths,92.7,90.2,Mid
794,Maths,41.0,43.2,Final
795,Maths,44.7,50.2,Mid
796,Maths,71.0,66.1,Final
797,Maths,71.4,85.6,Mid
798,Maths,86.4,84.9,Final
